"post_week","metro_name","job_count","nm_rank"
"2018-10-29","Chicago",16,4
"2018-10-29","Boston (Manchester)",11,5
"2018-10-22","New York",43,1
"2018-10-22","Los Angeles",31,2
"2018-10-22","San Francisco - Oakland - San Jose",26,3
"2018-10-22","Seattle - Tacoma",11,4
"2018-10-22","Chicago",9,5
"2018-10-15","New York",17,1
"2018-10-15","Los Angeles",13,2
"2018-10-15","San Francisco - Oakland - San Jose",12,3
"2018-10-15","Chicago",7,4
"2018-10-15","Boston (Manchester)",5,5
"2018-10-08","New York",20,1
"2018-10-08","Los Angeles",17,2
"2018-10-08","San Francisco - Oakland - San Jose",8,3
"2018-10-08","Chicago",4,4
"2018-10-08","Las Vegas",3,5
"2018-10-01","New York",50,1
"2018-10-01","Los Angeles",38,2
"2018-10-01","San Francisco - Oakland - San Jose",17,3
"2018-10-01","Washington DC (Hagerstown)",11,4
"2018-10-01","Chicago",10,5
"2018-09-24","New York",40,1
"2018-09-24","San Francisco - Oakland - San Jose",28,2
"2018-09-24","Los Angeles",27,3
"2018-09-24","Chicago",14,4
"2018-09-24","Phoenix",6,5
"2018-09-17","New York",51,1
"2018-09-17","Los Angeles",25,2
"2018-09-17","Chicago",14,3
"2018-09-17","San Francisco - Oakland - San Jose",14,4
"2018-09-17","San Diego",8,5
"2018-09-10","Los Angeles",22,1
"2018-09-10","New York",22,2
"2018-09-10","San Francisco - Oakland - San Jose",10,3
"2018-09-10","Boston (Manchester)",7,4
"2018-09-10","Houston",6,5
"2018-09-03","Los Angeles",10,1
"2018-09-03","New York",3,2
"2018-09-03","San Francisco - Oakland - San Jose",2,3
"2018-08-27","New York",6,1
"2018-08-27","San Francisco - Oakland - San Jose",4,2
"2018-08-27","Los Angeles",4,3
"2018-08-27","Baton Rouge",1,4
"2018-08-20","New York",6,1
"2018-08-20","Los Angeles",3,2
"2018-08-20","San Francisco - Oakland - San Jose",2,3
"2018-08-13","New York",5,1
"2018-08-13","San Francisco - Oakland - San Jose",3,2
"2018-08-13","Los Angeles",2,3
"2018-08-13","Jacksonville, Brunswick",1,4
"2018-08-13",,1,5
"2018-08-06","Los Angeles",7,1
"2018-08-06","San Francisco - Oakland - San Jose",5,2
"2018-08-06",,2,3
"2018-08-06","New York",2,4
"2018-07-30","Los Angeles",6,1
"2018-07-30","New York",3,2
"2018-07-30","San Francisco - Oakland - San Jose",1,3
"2018-07-23","Los Angeles",8,1
"2018-07-23","San Francisco - Oakland - San Jose",2,2
"2018-07-23","New York",1,3
"2018-07-23","West Palm Beach - Fort Pierce",1,4
"2018-07-16","New York",5,1
"2018-07-16","Los Angeles",5,2
"2018-07-09","New York",3,1
"2018-07-09","Los Angeles",3,2
"2018-07-09","San Francisco - Oakland - San Jose",2,3
"2018-07-09",,1,4
"2018-07-02","New York",4,1
"2018-07-02","San Francisco - Oakland - San Jose",3,2
"2018-07-02","Los Angeles",1,3
"2018-06-25","Los Angeles",5,1
"2018-06-25","New York",2,2
"2018-06-18","San Francisco - Oakland - San Jose",5,1
"2018-06-18","New York",3,2
"2018-06-18",,1,3
"2018-06-11","San Francisco - Oakland - San Jose",6,1
"2018-06-11","Los Angeles",4,2
"2018-06-11","New York",4,3
"2018-06-11","Seattle - Tacoma",1,4
"2018-06-04","San Francisco - Oakland - San Jose",6,1
"2018-06-04","New York",3,2
"2018-06-04","Sioux Falls (Mitchell)",1,3
"2018-06-04","Chicago",1,4
"2018-06-04","Madison",1,5
"2018-05-28","San Francisco - Oakland - San Jose",6,1
"2018-05-28","New York",5,2
"2018-05-28","Los Angeles",3,3
"2018-05-28",,2,4
"2018-05-21","New York",9,1
"2018-05-21","San Francisco - Oakland - San Jose",4,2
"2018-05-21","Los Angeles",3,3
"2018-05-14","New York",12,1
"2018-05-14","San Francisco - Oakland - San Jose",7,2
"2018-05-14","Los Angeles",5,3
"2018-05-07","New York",8,1
"2018-05-07","Los Angeles",3,2
"2018-05-07","New Orleans",1,3
"2018-05-07","San Francisco - Oakland - San Jose",1,4
"2018-04-30","Los Angeles",8,1
"2018-04-30","San Francisco - Oakland - San Jose",8,2
"2018-04-30","New York",7,3
"2018-04-30","Chicago",1,4
"2018-04-23","New York",4,1
"2018-04-23","Los Angeles",4,2
"2018-04-23","San Francisco - Oakland - San Jose",4,3
"2018-04-23",,3,4
"2018-04-23","Tucson (Sierra Vista)",1,5
"2018-04-16","San Francisco - Oakland - San Jose",10,1
"2018-04-16","Los Angeles",6,2
"2018-04-16","New York",5,3
"2018-04-16","Monterey - Salinas",1,4
"2018-04-09","New York",15,1
"2018-04-09","Los Angeles",5,2
"2018-04-02","New York",10,1
"2018-04-02","San Francisco - Oakland - San Jose",7,2
"2018-04-02","Los Angeles",5,3
"2018-04-02","Phoenix",1,4
"2018-04-02",,1,5
"2018-03-26",,1,1
"2018-03-26","New Orleans",1,2
"2018-03-26","San Francisco - Oakland - San Jose",1,3
